# Wigner-tomography RAW DATA -- SIMULATED BY THE DIGITAL TWIN (NOT a real measurement).
# Generated by spike/twin_wigner_tomography.py (engine: grating_tomography).
# Prepared state: coherent |gamma>, gamma = 0.919239 +0.919239j (|gamma|=1.3000, arg=0.7854 rad).
# Measurement: SDF/Ramsey characteristic-function readout, two quadratures.
#   P_x = 1/2(1 + C Re chi(beta)),  P_y = 1/2(1 + C Im chi(beta));  C=0.900, shots M=500/quadrature.
#   beta sampled on the disk |beta|<=4.00, uniform grid spacing h=0.33333.
# columns:  beta_re  beta_im  M  n_x  n_y  P_x  P_y
+1.66667 -2.00000 500 253 246 0.50600 0.49200
+2.00000 -2.00000 500 274 250 0.54800 0.50000
+2.33333 -2.00000 500 251 252 0.50200 0.50400
+2.66667 -2.00000 500 251 259 0.50200 0.51800
+3.00000 -2.00000 500 249 239 0.49800 0.47800
+3.33333 -2.00000 500 254 254 0.50800 0.50800
-3.33333 -1.66667 500 253 252 0.50600 0.50400
-3.00000 -1.66667 500 258 249 0.51600 0.49800
-2.66667 -1.66667 500 268 241 0.53600 0.48200
-2.33333 -1.66667 500 246 248 0.49200 0.49600
-2.00000 -1.66667 500 249 260 0.49800 0.52000
-1.66667 -1.66667 500 289 245 0.57800 0.49000
-1.33333 -1.66667 500 273 251 0.54600 0.50200
-1.00000 -1.66667 500 259 215 0.51800 0.43000
-0.66667 -1.66667 500 259 209 0.51800 0.41800
-0.33333 -1.66667 500 215 228 0.43000 0.45600
+0.00000 -1.66667 500 181 236 0.36200 0.47200
+0.33333 -1.66667 500 185 300 0.37000 0.60000
+0.66667 -1.66667 500 230 295 0.46000 0.59000
+1.00000 -1.66667 500 262 282 0.52400 0.56400
+1.33333 -1.66667 500 264 255 0.52800 0.51000
+1.66667 -1.66667 500 263 240 0.52600 0.48000
+2.00000 -1.66667 500 269 225 0.53800 0.45000
+2.33333 -1.66667 500 248 235 0.49600 0.47000
+2.66667 -1.66667 500 239 235 0.47800 0.47000
+3.00000 -1.66667 500 266 236 0.53200 0.47200
+3.33333 -1.66667 500 235 245 0.47000 0.49000
-3.66667 -1.33333 500 250 241 0.50000 0.48200
-3.33333 -1.33333 500 248 269 0.49600 0.53800
-3.00000 -1.33333 500 229 272 0.45800 0.54400
-2.66667 -1.33333 500 255 259 0.51000 0.51800
-2.33333 -1.33333 500 236 266 0.47200 0.53200
-2.00000 -1.33333 500 239 251 0.47800 0.50200
-1.66667 -1.33333 500 266 267 0.53200 0.53400
-1.33333 -1.33333 500 281 257 0.56200 0.51400
-1.00000 -1.33333 500 290 219 0.58000 0.43800
-0.66667 -1.33333 500 281 174 0.56200 0.34800
-0.33333 -1.33333 500 249 157 0.49800 0.31400
+0.00000 -1.33333 500 210 191 0.42000 0.38200
+0.33333 -1.33333 500 171 245 0.34200 0.49000
+0.66667 -1.33333 500 193 297 0.38600 0.59400
+1.00000 -1.33333 500 244 316 0.48800 0.63200
+1.33333 -1.33333 500 237 291 0.47400 0.58200
+1.66667 -1.33333 500 273 232 0.54600 0.46400
+2.00000 -1.33333 500 248 262 0.49600 0.52400
+2.33333 -1.33333 500 256 264 0.51200 0.52800
+2.66667 -1.33333 500 250 261 0.50000 0.52200
+3.00000 -1.33333 500 241 241 0.48200 0.48200
+3.33333 -1.33333 500 267 246 0.53400 0.49200
+3.66667 -1.33333 500 265 262 0.53000 0.52400
-3.66667 -1.00000 500 237 234 0.47400 0.46800
-3.33333 -1.00000 500 235 233 0.47000 0.46600
-3.00000 -1.00000 500 234 226 0.46800 0.45200
-2.66667 -1.00000 500 251 268 0.50200 0.53600
-2.33333 -1.00000 500 256 266 0.51200 0.53200
-2.00000 -1.00000 500 261 268 0.52200 0.53600
-1.66667 -1.00000 500 263 276 0.52600 0.55200
-1.33333 -1.00000 500 294 271 0.58800 0.54200
-1.00000 -1.00000 500 347 249 0.69400 0.49800
-0.66667 -1.00000 500 349 211 0.69800 0.42200
-0.33333 -1.00000 500 284 136 0.56800 0.27200
+0.00000 -1.00000 500 200 110 0.40000 0.22000
+0.33333 -1.00000 500 139 156 0.27800 0.31200
+0.66667 -1.00000 500 131 243 0.26200 0.48600
+1.00000 -1.00000 500 171 273 0.34200 0.54600
+1.33333 -1.00000 500 225 299 0.45000 0.59800
+1.66667 -1.00000 500 259 283 0.51800 0.56600
+2.00000 -1.00000 500 264 266 0.52800 0.53200
+2.33333 -1.00000 500 257 262 0.51400 0.52400
+2.66667 -1.00000 500 263 256 0.52600 0.51200
+3.00000 -1.00000 500 266 243 0.53200 0.48600
