delta_t_ns,peak_n1,R_area_n1,R_area_n2,R_area_n3,w_eff_n1_ns,fwhm_n1_ns,w_eff_n3_ns,D_mm,tau_f_ns
10,0.0671,1.0,0.0474,0.0026,149.1,139.9,86.1,1.0,84.03
30,0.1993,1.0,0.1409,0.0229,150.5,141.4,86.9,1.0,84.03
60,0.3864,1.0,0.2733,0.0862,155.3,145.9,89.7,1.0,84.03
100,0.5999,1.0,0.4257,0.2088,166.7,157.1,96.7,1.0,84.03
200,0.9076,1.0,0.6672,0.5038,220.4,213.6,134.8,1.0,84.03
400,0.9992,1.0,0.8324,0.7486,400.3,400.0,300.1,1.0,84.03
1000,1.0,1.0,0.933,0.8994,1000.0,999.7,899.4,1.0,84.03
